City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Vaini,TO,77.0,light rain,-21.2,-175.2,Keleti Beach Resort
12,Hambantota,LK,78.8,few clouds,6.1241,81.1185,Bungalow 63
13,Kahului,US,82.4,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
15,Bajil,YE,88.5,overcast clouds,15.0584,43.2851,فندق حضرموت
17,Kuching,MY,77.0,few clouds,1.55,110.3333,The Ranee Boutique Suites
19,Pochutla,MX,88.0,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
24,Mucuri,BR,77.88,clear sky,-18.0864,-39.5508,La Bodeguita Pousada
28,Hilo,US,77.0,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
32,Faanui,PF,81.03,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
35,Georgetown,MY,81.0,few clouds,5.4112,100.3354,Cititel Penang
37,Isangel,VU,76.48,overcast clouds,-19.55,169.2667,Tanna Lodge
41,Kroya,ID,76.91,scattered clouds,-7.6331,109.2461,RUSTANTO Fam
44,Jamtara,IN,84.81,clear sky,23.95,86.8,Hotel devoshree
48,Kabanjahe,ID,75.2,scattered clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
49,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
55,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
56,Pemangkat,ID,77.07,overcast clouds,1.1667,108.9667,Ramah Kost KITA
59,Rikitea,PF,78.13,overcast clouds,-23.1203,-134.9692,Pension Maro'i
64,Honiara,SB,83.89,few clouds,-9.4333,159.95,Heritage Park Hotel
72,Atuona,PF,79.99,scattered clouds,-9.8,-139.0333,Villa Enata
78,Pakxan,LA,77.07,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
83,Miri,MY,75.2,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
88,Manacapuru,BR,86.0,broken clouds,-3.2997,-60.6206,Novo Hotel
89,Kalmunai,LK,77.83,scattered clouds,7.4167,81.8167,VS Villa
90,Baghdad,IQ,87.8,clear sky,33.3406,44.4009,Baghdad Hotel
96,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
99,Olinda,BR,80.6,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
105,Butaritari,KI,82.81,few clouds,3.0707,172.7902,Isles Sunset Lodge
110,Hithadhoo,MV,82.11,overcast clouds,-0.6,73.0833,Scoop Guest House
116,Arraial Do Cabo,BR,75.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
118,Asyut,EG,82.4,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
119,Bairiki,KI,82.4,moderate rain,1.3292,172.9752,Tarawa Boutique Hotel
120,Matara,LK,77.22,few clouds,5.9485,80.5353,Amaloh Boutique Resort
122,Avarua,CK,82.4,light rain,-21.2078,-159.775,Paradise Inn
124,Lorengau,PG,81.3,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
128,Bambous Virieux,MU,77.0,light rain,-20.3428,57.7575,Casa Tia Villa
129,Puerto Ayacucho,VE,76.69,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
131,Saint-Joseph,RE,78.8,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
135,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
136,Sisophon,KH,79.88,scattered clouds,13.5859,102.9737,Pyramid Hotel
138,Sur,OM,83.62,clear sky,22.5667,59.5289,Sur Plaza Hotel
139,Padang,ID,77.41,broken clouds,-0.9492,100.3543,Mercure Padang
143,Sechura,PE,78.62,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
145,Miraflores,MX,84.2,scattered clouds,19.2167,-98.8083,Hotel Mansión
148,Les Cayes,HT,80.47,few clouds,18.2,-73.75,Villa Orphee
154,Mahebourg,MU,75.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
156,Port Blair,IN,81.03,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
170,Saint George,US,82.0,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
177,Braganca,BR,75.22,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
179,Bonoua,CI,82.4,scattered clouds,5.2741,-3.595,Hotel Bon Samaritian
180,San Cristobal,VE,87.8,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
182,Palimbang,PH,79.16,broken clouds,6.2106,124.1894,Felmar Beach resort
184,Alibag,IN,86.0,mist,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
186,Kathu,TH,84.0,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
194,Itacarambi,BR,80.17,broken clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
198,Chhatarpur,IN,80.35,broken clouds,24.9,79.6,Hotel La Capitol
200,North Platte,US,80.6,clear sky,41.1239,-100.7654,Holiday Inn Express & Suites North Platte
208,Karaj,IR,78.8,broken clouds,35.8355,51.0103,رزاقی4078
209,Saint-Philippe,RE,78.8,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
211,Cabo San Lucas,MX,82.99,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
212,Bandarbeyla,SO,82.83,broken clouds,9.4942,50.8122,JABIR HOTEL
213,Marsh Harbour,BS,79.97,clear sky,26.5412,-77.0636,Abaco Beach Resort
224,Atar,MR,81.52,clear sky,20.5169,-13.0499,Oumou Elghoura
227,Domoni,KM,79.03,overcast clouds,-12.2569,44.5319,Al Djadid
232,Poum,NC,77.4,broken clouds,-20.2333,164.0167,Gîte kajeon
234,Macaiba,BR,82.4,few clouds,-5.8583,-35.3539,Francis Pousada
239,Touros,BR,80.6,few clouds,-5.1989,-35.4608,INN NEW HORIZON
240,Fort Smith,US,78.8,clear sky,35.3859,-94.3986,Hampton Inn by Hilton Fort Smith
241,Magaria,NE,89.35,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
242,Daru,PG,75.0,overcast clouds,-9.0763,143.2092,Daru Lodge
244,Jawhar,SO,80.24,broken clouds,2.7809,45.5005,cosoble spare parts
246,Bengkulu,ID,75.27,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
247,Caravelas,BR,76.96,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
248,Dzilam Gonzalez,MX,85.91,broken clouds,21.2833,-88.9333,posadas
253,Pemba,MZ,75.2,broken clouds,-12.974,40.5178,Guesthouse Samotina
256,Nanakuli,US,82.4,overcast clouds,21.3906,-158.1547,Camp Pālehua
260,Cockburn Town,TC,78.67,clear sky,21.4612,-71.1419,Osprey Beach Hotel
261,Samarai,PG,83.62,overcast clouds,-10.6167,150.6667,Nuli Sapi
263,Weligama,LK,77.7,few clouds,5.9667,80.4167,Weligama Bay Resort
266,Kavieng,PG,82.2,light rain,-2.5744,150.7967,Nusa Island Retreat
272,Bonthe,SL,81.95,broken clouds,7.5264,-12.505,Bonthe Holiday Village
286,Tual,ID,83.41,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
288,Qiongshan,CN,78.8,broken clouds,20.0058,110.3542,Sun City Restaurant
289,Cabedelo,BR,78.8,clear sky,-6.9811,-34.8339,Hotel Pigalle
294,Aboisso,CI,78.04,overcast clouds,5.4678,-3.2071,Residence Belle Vue
302,Anderson,US,75.99,clear sky,34.5334,-82.6499,The Bleckley Inn
308,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
311,Kirakira,SB,82.96,scattered clouds,-10.4544,161.9205,SanBiz Lodge
318,Alofi,NU,82.4,scattered clouds,-19.0595,-169.9187,Taloa Heights
