City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jamestown,US,42.097,-79.2353,42.01,65,90,16.11,overcast clouds
1,Lashio,MM,22.9333,97.75,69.44,54,23,0.72,few clouds
2,Vardo,NO,70.3705,31.1107,28.4,69,0,12.66,clear sky
3,Tara,RU,56.8944,74.371,40.26,62,96,10.0,overcast clouds
4,Arraial Do Cabo,BR,-22.9661,-42.0278,74.3,82,89,8.14,overcast clouds
5,Castro,BR,-24.7911,-50.0119,58.21,92,75,3.89,broken clouds
6,Aksarka,RU,66.5606,67.7975,33.82,94,100,10.92,overcast clouds
7,Punta Arenas,CL,-53.15,-70.9167,48.2,87,90,13.8,light rain
8,Ushuaia,AR,-54.8,-68.3,50.0,71,75,24.16,broken clouds
9,Iskateley,RU,67.6803,53.1512,35.64,92,100,7.16,overcast clouds
10,Nikolskoye,RU,59.7035,30.7861,37.99,87,90,8.95,overcast clouds
11,Albany,US,42.6001,-73.9662,57.0,50,78,1.99,broken clouds
12,Beringovskiy,RU,63.05,179.3167,31.55,91,99,1.59,overcast clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,82.4,69,20,16.11,few clouds
14,Rikitea,PF,-23.1203,-134.9692,78.24,74,98,7.78,overcast clouds
15,Kutum,SD,14.2,24.6667,77.09,16,10,8.88,clear sky
16,Busselton,AU,-33.65,115.3333,51.01,98,100,4.52,overcast clouds
17,Itarema,BR,-2.9248,-39.9167,77.79,78,7,9.06,clear sky
18,Bluff,NZ,-46.6,168.3333,46.99,88,78,10.0,broken clouds
19,Carnarvon,AU,-24.8667,113.6333,59.0,72,0,8.05,clear sky
20,Hermanus,ZA,-34.4187,19.2345,61.0,91,98,1.01,overcast clouds
21,Mataura,NZ,-46.1927,168.8643,46.99,88,71,10.0,broken clouds
22,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,19.57,light rain
23,Georgetown,MY,5.4112,100.3354,81.0,89,20,3.44,few clouds
24,Olafsvik,IS,64.8945,-23.7142,40.17,89,37,14.97,scattered clouds
25,Upernavik,GL,72.7868,-56.1549,34.34,77,34,5.41,scattered clouds
26,Alta Floresta,BR,-9.8756,-56.0861,73.45,93,85,3.2,moderate rain
27,Saint George,US,37.1041,-113.5841,81.0,11,1,27.63,clear sky
28,Naze,JP,28.3667,129.4833,75.2,60,75,11.5,broken clouds
29,Severo-Kurilsk,RU,50.6789,156.125,32.5,98,100,12.19,snow
30,San Policarpo,PH,12.1791,125.5072,78.35,81,100,10.09,overcast clouds
31,Hilo,US,19.7297,-155.09,77.0,73,90,9.22,light rain
32,Taoudenni,ML,22.6783,-3.9836,90.79,13,4,10.51,clear sky
33,Nerchinskiy Zavod,RU,51.3088,119.61,47.89,32,100,4.74,overcast clouds
34,Tuscaloosa,US,33.2098,-87.5692,75.2,35,1,8.05,clear sky
35,Avarua,CK,-21.2078,-159.775,82.4,78,75,12.66,light rain
36,Cubulco,GT,15.1333,-90.5833,82.4,69,20,4.61,few clouds
37,Dinguiraye,GN,11.3,-10.7167,85.42,39,81,8.28,broken clouds
38,Boende,CD,-0.2167,20.8667,71.24,94,54,3.11,broken clouds
39,Leningradskiy,RU,69.3833,178.4167,26.01,83,100,0.65,overcast clouds
40,Cherskiy,RU,68.75,161.3,15.48,85,97,5.5,overcast clouds
41,Port Elizabeth,ZA,-33.918,25.5701,59.0,88,0,8.05,clear sky
42,Hambantota,LK,6.1241,81.1185,78.69,82,3,5.06,clear sky
43,Nambucca Heads,AU,-30.65,153.0,68.0,64,7,10.36,clear sky
44,Hobart,AU,-42.8794,147.3294,62.01,48,75,17.27,broken clouds
45,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,75,14.97,light rain
46,Viedma,AR,-40.8135,-62.9967,57.47,63,10,8.99,clear sky
47,Provideniya,RU,64.3833,-173.3,39.2,70,0,4.47,clear sky
48,Kenai,US,60.5544,-151.2583,53.6,32,1,6.91,clear sky
49,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,75,10.36,broken clouds
50,Kodiak,US,57.79,-152.4072,42.8,75,90,10.36,overcast clouds
51,Strezhevoy,RU,60.7333,77.5889,33.8,80,0,6.71,clear sky
52,Kota Belud,MY,6.351,116.4305,80.6,78,20,3.44,few clouds
53,Pitanga,BR,-24.7572,-51.7614,58.51,98,74,3.38,broken clouds
54,Asau,RO,46.4333,26.4,45.0,54,17,4.03,few clouds
55,Richards Bay,ZA,-28.783,32.0377,64.89,92,7,3.65,clear sky
56,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.57,89,30,8.3,scattered clouds
57,Chimbote,PE,-9.0853,-78.5783,67.62,83,20,8.43,few clouds
58,Konosha,RU,60.9736,40.257,39.4,95,100,5.91,overcast clouds
59,Aleksandrov Gay,RU,50.147,48.5704,41.74,56,90,4.12,overcast clouds
60,Yokadouma,CM,3.5167,15.05,70.27,89,46,1.14,scattered clouds
61,Atuona,PF,-9.8,-139.0333,80.06,73,48,15.01,scattered clouds
62,Ardesen,TR,41.1911,40.9875,50.0,93,75,3.44,light rain
63,Kruisfontein,ZA,-34.0033,24.7314,69.21,43,100,6.22,overcast clouds
64,Aquiraz,BR,-3.9014,-38.3911,81.0,83,0,2.3,clear sky
65,Vaini,TO,-21.2,-175.2,80.6,83,75,6.91,light rain
66,Bethel,US,41.3712,-73.414,60.8,51,90,5.75,overcast clouds
