City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2021-04-21 21:15:42,-46.6,168.3333,48.99,97,98,5.01
1,Nanortalik,GL,2021-04-21 21:15:43,60.1432,-45.2371,38.28,76,100,5.66
2,Northam,GB,2021-04-21 21:15:43,51.0333,-4.2167,50.0,74,12,4.0
3,Port Alfred,ZA,2021-04-21 21:15:44,-33.5906,26.891,70.61,81,69,12.24
4,Hermanus,ZA,2021-04-21 21:13:11,-34.4187,19.2345,66.0,85,22,8.01
5,Kaberamaido,UG,2021-04-21 21:15:44,1.7389,33.1594,67.78,91,100,3.98
6,Nizhniy Baskunchak,RU,2021-04-21 21:15:45,48.2198,46.8311,50.38,84,33,4.74
7,Cherskiy,RU,2021-04-21 21:15:45,68.75,161.3,30.38,70,100,20.54
8,Rikitea,PF,2021-04-21 21:15:46,-23.1203,-134.9692,78.26,71,15,11.7
9,Hobart,AU,2021-04-21 21:11:47,-42.8794,147.3294,52.0,58,40,11.5
10,Tuktoyaktuk,CA,2021-04-21 21:15:46,69.4541,-133.0374,10.4,79,75,25.32
11,Carnarvon,AU,2021-04-21 21:15:47,-24.8667,113.6333,62.6,88,12,8.05
12,Rawson,AR,2021-04-21 21:15:47,-43.3002,-65.1023,64.22,81,100,7.87
13,East London,ZA,2021-04-21 21:15:48,-33.0153,27.9116,68.54,83,75,2.06
14,Chuy,UY,2021-04-21 21:15:48,-33.6971,-53.4616,67.28,72,2,15.12
15,Busselton,AU,2021-04-21 21:15:48,-33.65,115.3333,53.01,96,100,1.01
16,Butaritari,KI,2021-04-21 21:15:49,3.0707,172.7902,82.6,77,100,15.57
17,Nikolskoye,RU,2021-04-21 21:15:49,59.7035,30.7861,37.0,93,75,2.24
18,Bethel,US,2021-04-21 21:15:50,41.3712,-73.414,50.0,76,90,9.22
19,Verkhniy Baskunchak,RU,2021-04-21 21:15:50,48.2256,46.7217,50.0,83,36,4.14
20,Thompson,CA,2021-04-21 21:15:50,55.7435,-97.8558,53.6,30,1,8.05
21,Geraldton,AU,2021-04-21 21:15:51,-28.7667,114.6,66.2,52,100,10.36
22,Mataura,NZ,2021-04-21 21:15:51,-46.1927,168.8643,48.99,97,90,5.01
23,Zapresic,HR,2021-04-21 21:15:52,45.8564,15.8078,52.0,76,3,9.22
24,Nortelandia,BR,2021-04-21 21:15:52,-14.4547,-56.8028,82.02,68,3,4.25
25,La Ronge,CA,2021-04-21 21:15:52,55.1001,-105.2842,62.6,17,7,8.05
26,Hasaki,JP,2021-04-21 21:15:53,35.7333,140.8333,50.0,93,20,1.14
27,Salalah,OM,2021-04-21 21:15:53,17.0151,54.0924,80.6,74,0,2.3
28,Reporoa,NZ,2021-04-21 21:15:53,-38.4333,176.35,63.0,81,58,1.59
29,Adrar,MR,2021-04-21 21:15:54,20.5022,-10.0711,84.42,8,39,10.49
30,Ribeira Grande,PT,2021-04-21 21:15:54,38.5167,-28.7,64.4,94,75,21.85
31,Ahipara,NZ,2021-04-21 21:15:55,-35.1667,173.1667,63.39,71,100,1.95
32,Cape Town,ZA,2021-04-21 21:15:55,-33.9258,18.4232,64.99,77,0,5.75
33,Mahebourg,MU,2021-04-21 21:15:56,-20.4081,57.7,78.8,89,75,5.75
34,Atuona,PF,2021-04-21 21:15:56,-9.8,-139.0333,80.78,69,4,20.58
35,Ushuaia,AR,2021-04-21 21:15:56,-54.8,-68.3,48.2,49,0,1.34
36,Vaini,TO,2021-04-21 21:15:57,-21.2,-175.2,82.4,78,40,3.44
37,Longyearbyen,SJ,2021-04-21 21:15:57,78.2186,15.6401,23.0,63,75,17.27
38,Albany,US,2021-04-21 21:15:58,42.6001,-73.9662,36.0,64,100,7.0
39,Hilo,US,2021-04-21 21:15:58,19.7297,-155.09,82.4,51,20,6.91
40,North Platte,US,2021-04-21 21:15:44,41.1239,-100.7654,46.4,29,1,4.47
41,Mercedes,AR,2021-04-21 21:15:59,-34.6515,-59.4307,73.99,71,100,5.01
42,Cayenne,GF,2021-04-21 21:12:11,4.9333,-52.3333,82.4,78,75,8.05
43,Meulaboh,ID,2021-04-21 21:15:59,4.1363,96.1285,76.8,88,87,3.11
44,Beyneu,KZ,2021-04-21 21:16:00,45.3167,55.2,50.9,37,97,20.47
